fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
Punk,,PUNK DRUNKERS,Clothing,Accessories,Glamping,,,1327,6530.68374246546,6599.64020742311,6.79374641703557,1.0,55.0391142913616,4.81308753167104,,,,,,,0.576931155679346,0.582963034174672,-3.53e-21,-0.23277815602754198,0.017125719268676,,,
shiangdesign,shiangdesign,Shiang Studio,Lifestyle,Design,Creative,M&O Paris Sep 2018,,1328,5453.94747272329,5567.24457571902,,,,,190.0,604.919266151117,102.0,2.0,0.004347826086957,13.143478260869601,0.782283392167821,0.8775788632098299,,,,-0.10625891978292402,-0.004175845341632,-0.138337363679776
mellipou,mellipouparis,MELLIPOU,Design,Music,Cushions,M&O Paris Sep 2018,,1329,4799.90740693371,4897.26514314039,,,,,1050.14253488143,8494.08217739883,929.286748355141,26.8482573788659,1.59866902814704,73.1510892670052,1.19494161500991,1.51456427725236,,,,0.7013516701009649,-0.008102385962154,0.211028856723358
mapoesie,mapoesie_paris,MAPOESIE-PARIS,Accessories,Home,Scarves,M&O Paris Sep 2018,,1330,2714.4805292567803,2884.4212434551196,30.3287053420133,0.0,8.30942237263884,0.0,1550.53842343965,13867.5896439598,1429.98456277046,55.16375768889439,14.046985224352698,135.552721658042,0.748942558853706,0.88295935231097,-0.025048949718222,-0.028306714275717005,-0.031859891691273,6.61350130466882,-0.018559152574213,0.10900661253245099
orangeorred,orangeorred,ORANGE OR RED,Design,Décor,Cushions,M&O Paris Sep 2018,,1331,209.18034480403801,236.109893127826,12.619695632471599,1.93520757506614,5.652607057910889,0.5632504724220351,293.33804099135,595.59293252865,237.146567604286,11.048533587216498,1.5547775393699097,52.2230989570449,0.019588314042184,0.022122671782577007,-0.007856351381836,-0.034420372543747,-0.005686743952629,0.930021566139217,-0.011906116980328,0.025761025692128
Inspiration,,Inspiration Workshop 靈感工房,Lifestyle,Glamping,Outdoor,,,1332,644.395159501499,695.4484987551599,,,,,,,,,,,0.285098859457837,0.29231640211365,,,,,,
LifefactoryInc,lifefactory,Life Factory,Lifestyle,Bottles Aug,Kids,,,1333,,,,,,,349.77132599852206,28741.6562204598,1203.39004841619,52.5949152687037,1.57456833801783,46.996476918754205,,,,,,6.72413736684862,-0.004337887682129001,-0.47011288959595204
fredperry,fredperryjp,FRED PERRY,Clothing,Accessories,Glamping,,,1334,1562031.13903773,1555555.88067623,36.7877779165812,8.119864431035099,234.25491017655602,0.481931242088534,155.000012266444,61337.573819807,1624.4007279494901,92.6594188066911,0.235328540118457,558.051196843376,-38.0030766793008,-29.5845262226636,-0.051995988708529006,0.22332157896263302,-0.067482342613702,3.6778198865353597,-0.0026420584906580004,-1.6890397763746297
korridordesigncom,korridordesign,Korridor Design,Lifestyle,Design,Furniture,,,1335,,,,,,,268.383069585906,7595.287048063209,442.419131843069,21.1142684891362,0.33218658887686603,134.607434518074,,,,,,3.25602496916577,-0.000572129745081,0.127156515778446
cocoandpine,cocoandpineofficial,COCO & PINE,Lifestyle,Accessories,Kids,M&O Paris Sep 2018,,1336,1827.31297815518,1853.9550257588198,16.2515245382784,2.01000481689511,16.7432520356443,1.76561437393365,782.72222026475,3505.10460285109,395.88397035122597,30.1326451386822,4.29465463107328,53.2879281205332,0.084162467696485,0.155567277182677,0.0017677608686279998,0.032622437455058,0.004507826875519,2.44277925790251,0.0077749549070830004,-0.0121818073154
