Unnamed: 0,fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
3074,myliven,,ACERA,Drinkware,Bottles,,,,3075,6690.58122355352,6871.77029407757,12.939496720288,1.09118275919785,19.3791258274439,2.67915119749521,,,,,,,0.481034261270619,0.647417835668056,-5.48E-05,0.002878206097354,0.006384429548217,,,
3075,lyngbyporcelaen,lyngbyporcelain,Lyngby Porcelæn,Home,Tableware,Décor,,,3076,44591.6151927176,44607.0428690648,18.7601953031434,5.75550557260887,24.042217241862,5.24767053635018,58.1431701102335,51989.1430191201,1379.62182807789,22.4924240743851,8.73238240322499,466.903904445502,-0.185384243098747,0.161512300822087,-0.00040098915118,-0.012846505998993,-0.002466643321773,12.1146072221677,0.016216895739714,-0.07479896880433
3076,wultwokeuplikethis,wult,Wult (WokeUpLikeThis),Beauty,Skincare,Makeup,Hong Kong,,3077,,,,,,,2,10670.5364655939,22.0650768296482,3.81463315025971,27.2216685844425,392.546053293384,,,,,,17.0845953385982,-0.01583021039005,-0.759455723489179
3078,JUNOBeautyCo,thejunoco,JUNO & Co.,Beauty,Accessories,,,,3079,41660.2983239415,42911.1387389107,4.2423047256254,491.818428580232,1616.13222115092,271.79619682088,6447.96905263703,134310.623203925,443.847145453996,182.320256304371,86.723470085863,726.216089740104,17.173998091283,18.8854637393284,-0.109533913841488,-0.452493456512309,-0.071040379574352,75.0937507996666,-0.182787738107314,-0.49309703021555
3082,iprovenzali,i_provenzali,I provenzali,Skincare,,,,,3083,50334.3533635412,50875.4127231432,,,,,120.997753750099,24560.9816037341,401.153373700509,13.7626235016583,48.5906304466889,546.589071790693,20.2062404969747,21.7724303439301,,,,22.2634979271687,-0.098368180248119,-0.219507578597137
3083,BabahuOfficial,babahu_,Babahu,Family,Health,Electronic,,,3084,1893.51554606965,1822.53372281727,,,,,,,,,,,-0.182147747203686,-0.220558381332478,,,,,,
3084,deenoapp,deenoapp,Deeno_saur,Electronic,Health,Kids,,,3085,935.204829716826,950.420570085099,5.13452386702326,7.30128003892778,21.1848595864894,0.90485200489143,223.581813086793,1064.88053189195,98.8445864941403,13.652094958844,2.08842097330655,15.9100092722147,0.737453415031406,0.780390619248336,-0.001961881844109,-0.000644093184959,-6.87E-06,0.011116085188338,0.000425502653833,0.002437360619826
3086,TataHarperSkinCare,tataharperskincare,Tata Harper Skincare,Skincare,Organic,USA,Skincare,US,3087,57142.5257477632,58963.1398237512,,,,,1944.0574741459,287674.839042974,4303.20226673044,89.6268206622394,82.2043511152121,1230.92087475636,12.3860921932073,15.4808270898349,,,,89.1902451772645,0.020770629745858,0.946685116491179
3087,kahlerdesign,kahlerdesign,Kähler Design,Home,Décor,Design,,,3088,195928.382438814,196265.668076306,,,,,297.9630518927,183438.973505101,2175.72849708456,29.3128818566072,10.6849281154386,984.420590135553,-3.49049650872981,-3.4399772890956,,,,-20.5850045117216,-0.014617683293616,-0.923375759685991
3088,MaisonPayen1730,maisonpayen1730,Maison Payen 1730,Skincare,,,,,3089,2273.04819516631,2301.34403212192,77.2460753200969,15.0802093828162,7.15253150612054,3.05804495174278,504.854427422759,4663.5416073125,278.353907315764,27.3177273064494,11.9049353330223,132.138919192546,-0.160823270841892,-0.193665069248724,-0.01981841308803,-0.020100070039614,-0.001677578273315,-2.36039191406693,-0.018108216592558,-0.127529405045449
3089,SenzInternational,senz_international,Senz #3,Accessories,Design,,Sino Project,,3090,6033.29535986968,6190.70425187194,,,,,3026.387363615,5294.88446333895,545.491249378942,22.1472127969094,2.33825467541038,40.8803139762799,0.34899223582136,0.408601333204718,,,,1.68347758761742,-0.003455786685635,0.020934896407191
3090,perfectpotion,perfectpotion,Perfect Potion,Skincare,,,,,3091,20359.8651405184,20928.609790538,81.037611421186,2.94760114556575,10.2831650540794,1.47501045437199,1027.16293428046,17034.0386360974,2010.74668303196,114.84682490166,2.42356673310339,94.2379658090134,3.50820133619808,4.48116968016241,-0.003971424802567,-0.012498785533745,-0.01094722017599,6.27663925960697,-0.001461831854997,0.156804138199023
3093,biofficinatoscana,biofficinatoscana,Biofficina,Skincare,,,,,3094,68565.005813679,69810.4757280957,10.6089304025375,4.64796797507766,92.2662765393359,4.13448492780284,3923.88482607528,48739.5648302559,274.91964771732,2.57633394251076,24.5875636292674,515.620756715184,5.52617955158034,7.45569320645694,0.002254697723116,-0.066305076013288,-0.000179697894849,21.0534052823468,0.697318324013108,2.10600914486998
3094,ryzremi,ryzremi,Ryz Rémi,Skincare,,,,,3095,536.21827304842,548.205073254604,,,,,22.9960426776188,471.657879708565,172,,,,-0.034750902714346,-0.034750902714346,,,,-0.104875739485306,,
3096,joinrocean,joinrocean,Rocean,Drinkware,Eco-Friendly,,,,3097,4713.80168846262,4967.87489449002,21.2336791522014,,,,1405.96319752127,11383.9767659166,816.492835311596,99.8914458187317,0.253956468939638,37.3209965429531,-0.39216440435547,-0.458319600630898,,,,-2.59684984856916,-0.000467999399391,0.011395591112714
3097,PlantuiOfficial,plantuiofficial,Plantui,Smarthome,Garden,Tech,,,3098,7459.02538404425,7543.14553483523,42.2220198649161,1.86364515279731,10.5627598840272,1,514.32762051627,3253.55693372956,165.481597554427,51.6328371790457,28.7893000373398,76.3280953525062,1.21023603012515,1.35628349191155,0.00057313845315,0.033054958869582,0.020181207117327,29.0261937117845,-0.010618376811205,-0.016845542458252
3099,alkemilla,alkemilla_eco_bio_cosmetic,Alkemilla Eco Bio Cosmetic,Skincare,,,,,3100,242183.203528463,243023.428945645,,,,,7499.61665234094,74941.6337353987,1131.53255904345,-25.6489079639309,13.8166657313832,305.191061258423,29.8772962868186,33.4022463915228,,,,15.1716261328806,0.011094418412975,0.47278902316706
3101,tathatabrand,tathatabrand,Ta Tha Ta,Design,Fashion,Thailand,Sino Project,TH,3102,,,,,,,,,,,,,,,,,,,,
3103,dadwayfan,d,d.fesense,Fashion,Kids,Japan,Sino Project,JP,3104,,,,,,,,,,,,,,,,,,,,
3104,G,g_lighthouse,G lighthouse,Décor,Handmade,Lighting,,,3105,373,365,,,,,736.88609344406,1036.29283040935,104,1,1.29802012539905,88.0229439999011,0.010007605820772,0.010007605820772,,,,-0.066384882301181,-0.002228665665051,-0.120150554314028
3105,PentikOfficial,pentik_official,Pentik,Home,Tableware,Décor,,,3106,44198.6278121947,43675.5538405133,,,,,77.2802912943115,52535.1507248583,857.9755529616,23.4545106089789,1.63549275111998,1204.74971674291,10.4653957717409,11.6086999126248,,,,17.8748482743918,0.336359500744332,-0.300177902944269
